material_id,Date,Demand,Year,Month,mom_growth,yoy_growth,CV,Safety_Stock,Unrestricted,Material_Lead_Time,Moving_price,High_Lead_Time_Flag,Lead_Time_Category,XYZ_Class,Reorder_Point,ABC_Class
100345,2023-10-01,1,2023,Oct,0.0,0.0,0.0,2.0,2.0,17.0,117.27,0,Short,X,2.5667,C
100463,2023-10-01,7,2023,Oct,0.0,0.0,0.0,8.0,16.0,25.0,1461.95,0,Medium,X,13.8333,C
101692,2023-10-01,0,2023,Oct,0.0,0.0,0.0,5.0,17.0,10.0,75.0,0,Short,X,5.0,C
101998,2023-10-01,19,2023,Oct,0.0,0.0,0.0,30.0,43.0,18.0,56.1,0,Short,X,41.4,C
102675,2023-10-01,3,2023,Oct,0.0,0.0,0.0,2.0,0.0,5.0,234272.2,0,Short,X,2.5,A
103469,2023-10-01,2,2023,Oct,0.0,0.0,0.0,1.0,2.0,18.0,5625.0,0,Short,X,2.2,C
103582,2023-10-01,1,2023,Oct,0.0,0.0,0.0,2.0,5.0,59.0,9587.0,1,Long,X,3.9667,C
103768,2023-10-01,46,2023,Oct,0.0,0.0,0.0,5.0,18.0,31.0,100.0,0,Medium,X,52.5333,C
103841,2023-10-01,0,2023,Oct,0.0,0.0,0.0,5.0,5.0,50.0,424.26,0,Long,X,5.0,C
104185,2023-10-01,1,2023,Oct,0.0,0.0,0.0,1.0,1.0,10.0,16157.33,0,Short,X,1.3333,B
104192,2023-10-01,1,2023,Oct,0.0,0.0,0.0,1.0,5.0,28.0,400.0,0,Medium,X,1.9333,C
104417,2023-10-01,35,2023,Oct,0.0,0.0,0.0,30.0,92.0,10.0,117.0,0,Short,X,41.6667,C
104423,2023-10-01,185,2023,Oct,0.0,0.0,0.0,50.0,158.0,28.0,1242.89,0,Medium,X,222.6667,A
104647,2023-10-01,0,2023,Oct,0.0,0.0,0.0,24.0,38.0,25.0,5390.11,0,Medium,X,24.0,C
105773,2023-10-01,212,2023,Oct,0.0,0.0,0.0,200.0,151.0,33.0,30.0,0,Medium,X,433.2,C
105795,2023-10-01,0,2023,Oct,0.0,0.0,0.0,6.0,11.0,50.0,9104.07,0,Long,X,6.0,C
106195,2023-10-01,136,2023,Oct,0.0,0.0,0.0,400.0,9.0,43.0,710.67,0,Medium,X,594.9333,A
106322,2023-10-01,0,2023,Oct,0.0,0.0,0.0,2.0,10.0,18.0,312.52,0,Short,X,2.0,C
106348,2023-10-01,168,2023,Oct,0.0,0.0,0.0,200.0,6938.0,10.0,8.2,0,Short,X,256.0,C
