material_id,date,demand
100016,2023-10-01,1
100345,2023-10-01,1
100463,2023-10-01,7
101692,2023-10-01,0
101998,2023-10-01,19
102675,2023-10-01,3
102791,2023-10-01,1
103112,2023-10-01,0
103469,2023-10-01,2
103582,2023-10-01,1
103768,2023-10-01,46
103841,2023-10-01,0
104185,2023-10-01,1
104192,2023-10-01,1
104417,2023-10-01,35
104423,2023-10-01,185
104515,2023-10-01,0
104647,2023-10-01,0
105610,2023-10-01,0
105773,2023-10-01,212
105795,2023-10-01,0
106195,2023-10-01,136
106322,2023-10-01,0
106348,2023-10-01,168
106563,2023-10-01,1
106903,2023-10-01,0
106952,2023-10-01,1
107039,2023-10-01,4801
107166,2023-10-01,1
107262,2023-10-01,0
107757,2023-10-01,0
108564,2023-10-01,0
108621,2023-10-01,2
108957,2023-10-01,0
109080,2023-10-01,290
109088,2023-10-01,0
109303,2023-10-01,4
109711,2023-10-01,1
110122,2023-10-01,15
110412,2023-10-01,29
110427,2023-10-01,3
110453,2023-10-01,0
110526,2023-10-01,6
110591,2023-10-01,1
110662,2023-10-01,0
110927,2023-10-01,2
111420,2023-10-01,1
111563,2023-10-01,0
111728,2023-10-01,1
112273,2023-10-01,0
112434,2023-10-01,0
112955,2023-10-01,3
113980,2023-10-01,0
114187,2023-10-01,0
114306,2023-10-01,0
114346,2023-10-01,1
115312,2023-10-01,0
116035,2023-10-01,1
116283,2023-10-01,12
116327,2023-10-01,1
116350,2023-10-01,1
116776,2023-10-01,1
116841,2023-10-01,350
116892,2023-10-01,113
117164,2023-10-01,0
117510,2023-10-01,3
117563,2023-10-01,0
118054,2023-10-01,0
118176,2023-10-01,2
118301,2023-10-01,0
118546,2023-10-01,0
118611,2023-10-01,0
118916,2023-10-01,41
119792,2023-10-01,1
119848,2023-10-01,2
120117,2023-10-01,84
120139,2023-10-01,0
120517,2023-10-01,3
120667,2023-10-01,0
120737,2023-10-01,1
120932,2023-10-01,5
122327,2023-10-01,1
122987,2023-10-01,0
123358,2023-10-01,5
123429,2023-10-01,47
123619,2023-10-01,0
124002,2023-10-01,2
124679,2023-10-01,7
124803,2023-10-01,0
125248,2023-10-01,1
125392,2023-10-01,0
125587,2023-10-01,3
125818,2023-10-01,6
126178,2023-10-01,0
126375,2023-10-01,0
126579,2023-10-01,236
127377,2023-10-01,0
127604,2023-10-01,0
128164,2023-10-01,0
128579,2023-10-01,0
128707,2023-10-01,3
128806,2023-10-01,0
129039,2023-10-01,0
129210,2023-10-01,0
129358,2023-10-01,0
129918,2023-10-01,0
129969,2023-10-01,0
130176,2023-10-01,2
131046,2023-10-01,358
131063,2023-10-01,0
131070,2023-10-01,0
131091,2023-10-01,2
131134,2023-10-01,144
131280,2023-10-01,1
131345,2023-10-01,3
131403,2023-10-01,0
131712,2023-10-01,3
132618,2023-10-01,0
132630,2023-10-01,0
132666,2023-10-01,588
132872,2023-10-01,9
132894,2023-10-01,214
133590,2023-10-01,1
133816,2023-10-01,0
134066,2023-10-01,39
134516,2023-10-01,6
134563,2023-10-01,4
134719,2023-10-01,15
134977,2023-10-01,4
135690,2023-10-01,3
135988,2023-10-01,0
136633,2023-10-01,0
136872,2023-10-01,0
137547,2023-10-01,0
137975,2023-10-01,0
138633,2023-10-01,0
138718,2023-10-01,292
139437,2023-10-01,0
140198,2023-10-01,0
141626,2023-10-01,7
142067,2023-10-01,0
142235,2023-10-01,1
142425,2023-10-01,0
143175,2023-10-01,1
143866,2023-10-01,1
145215,2023-10-01,0
145520,2023-10-01,2
145600,2023-10-01,133
146043,2023-10-01,0
146829,2023-10-01,18
147370,2023-10-01,9
148347,2023-10-01,15
148407,2023-10-01,121
148568,2023-10-01,0
148743,2023-10-01,43
148757,2023-10-01,1
148819,2023-10-01,10
148867,2023-10-01,1
149147,2023-10-01,9
150083,2023-10-01,3
150658,2023-10-01,1
151427,2023-10-01,6
151824,2023-10-01,0
152656,2023-10-01,2
153061,2023-10-01,36
153592,2023-10-01,10
153846,2023-10-01,1
154111,2023-10-01,81
154262,2023-10-01,1
154283,2023-10-01,3
154356,2023-10-01,0
154719,2023-10-01,0
154724,2023-10-01,0
154833,2023-10-01,64
154865,2023-10-01,0
154964,2023-10-01,23
155000,2023-10-01,0
155065,2023-10-01,6
155098,2023-10-01,89
155146,2023-10-01,0
156043,2023-10-01,1
156790,2023-10-01,0
156834,2023-10-01,0
157182,2023-10-01,0
157799,2023-10-01,1
158049,2023-10-01,0
158272,2023-10-01,1
158661,2023-10-01,2
158860,2023-10-01,0
159023,2023-10-01,9
159300,2023-10-01,3
159781,2023-10-01,0
159833,2023-10-01,0
160061,2023-10-01,0
160171,2023-10-01,12
160325,2023-10-01,0
160523,2023-10-01,1
160576,2023-10-01,0
160630,2023-10-01,2
160782,2023-10-01,21
161102,2023-10-01,14
161206,2023-10-01,0
161732,2023-10-01,1
162088,2023-10-01,5
162178,2023-10-01,0
162206,2023-10-01,0
162496,2023-10-01,5
162716,2023-10-01,51
162873,2023-10-01,16
163049,2023-10-01,1
163089,2023-10-01,0
163364,2023-10-01,42
163833,2023-10-01,67
164222,2023-10-01,85
164353,2023-10-01,0
164562,2023-10-01,0
164968,2023-10-01,1
165086,2023-10-01,7
165439,2023-10-01,59
166131,2023-10-01,7
166132,2023-10-01,0
166351,2023-10-01,1
166642,2023-10-01,2
166652,2023-10-01,74
167060,2023-10-01,1
167062,2023-10-01,48
167331,2023-10-01,0
167460,2023-10-01,1
167609,2023-10-01,112
168158,2023-10-01,11
168496,2023-10-01,0
169061,2023-10-01,3
169130,2023-10-01,1
169383,2023-10-01,4
170172,2023-10-01,19
170304,2023-10-01,17
170525,2023-10-01,0
171725,2023-10-01,0
172051,2023-10-01,19
172393,2023-10-01,2
173750,2023-10-01,0
173891,2023-10-01,2
173905,2023-10-01,0
174200,2023-10-01,0
175015,2023-10-01,0
175131,2023-10-01,0
176206,2023-10-01,1
176482,2023-10-01,1
176941,2023-10-01,1
177869,2023-10-01,0
178071,2023-10-01,0
178078,2023-10-01,0
178106,2023-10-01,4
178443,2023-10-01,240
179042,2023-10-01,11
179051,2023-10-01,0
179132,2023-10-01,13
179184,2023-10-01,3
179831,2023-10-01,203
180114,2023-10-01,0
180152,2023-10-01,0
180304,2023-10-01,2
180715,2023-10-01,1
180901,2023-10-01,0
181086,2023-10-01,85
181089,2023-10-01,12
181212,2023-10-01,0
181357,2023-10-01,2
181987,2023-10-01,0
182301,2023-10-01,1
182635,2023-10-01,278
182657,2023-10-01,1
182982,2023-10-01,0
183003,2023-10-01,0
183135,2023-10-01,407
183149,2023-10-01,6
183163,2023-10-01,0
183339,2023-10-01,2
184049,2023-10-01,44
184898,2023-10-01,3
185210,2023-10-01,33
185245,2023-10-01,111
185256,2023-10-01,319
185680,2023-10-01,9
185885,2023-10-01,4
186014,2023-10-01,1
186154,2023-10-01,404
186449,2023-10-01,9
186451,2023-10-01,0
186523,2023-10-01,1
186605,2023-10-01,54
186670,2023-10-01,5
186802,2023-10-01,0
186814,2023-10-01,0
187500,2023-10-01,25
187613,2023-10-01,0
187775,2023-10-01,0
187942,2023-10-01,91
188066,2023-10-01,41
188685,2023-10-01,0
188845,2023-10-01,7
189111,2023-10-01,0
189851,2023-10-01,1
190067,2023-10-01,1
190410,2023-10-01,0
191643,2023-10-01,104
192171,2023-10-01,2
192312,2023-10-01,0
192434,2023-10-01,49
192581,2023-10-01,0
192850,2023-10-01,7
193386,2023-10-01,2
193986,2023-10-01,0
194244,2023-10-01,1
194458,2023-10-01,27
194695,2023-10-01,6
195055,2023-10-01,0
195650,2023-10-01,1
195846,2023-10-01,0
195847,2023-10-01,0
195915,2023-10-01,307
196210,2023-10-01,0
196537,2023-10-01,1
196902,2023-10-01,80
197673,2023-10-01,0
197757,2023-10-01,1
197766,2023-10-01,1
199002,2023-10-01,7
199247,2023-10-01,0
199308,2023-10-01,2
199371,2023-10-01,2
199555,2023-10-01,0
199961,2023-10-01,0
200960,2023-10-01,1
200991,2023-10-01,0
201795,2023-10-01,14
201827,2023-10-01,13
201946,2023-10-01,0
202243,2023-10-01,1
202418,2023-10-01,0
202548,2023-10-01,21
202802,2023-10-01,2
203036,2023-10-01,0
203104,2023-10-01,1
203489,2023-10-01,0
203802,2023-10-01,8
204160,2023-10-01,0
204186,2023-10-01,0
204294,2023-10-01,2
204349,2023-10-01,0
204357,2023-10-01,1
204458,2023-10-01,3
205825,2023-10-01,1
206091,2023-10-01,1
206318,2023-10-01,0
206364,2023-10-01,3
206380,2023-10-01,7
206511,2023-10-01,0
206592,2023-10-01,40
206732,2023-10-01,21
