material_id,material_lead_time,moving_price,unrestricted,safety_stock
100345,17.0,117.27,2.0,2.0
100463,25.0,1461.95,16.0,8.0
101692,10.0,75.0,17.0,5.0
101998,18.0,56.1,43.0,30.0
102675,5.0,234272.2,0.0,2.0
103469,18.0,5625.0,2.0,1.0
103582,59.0,9587.0,5.0,2.0
103768,31.0,100.0,18.0,5.0
103841,50.0,424.26,5.0,5.0
104185,10.0,16157.33,1.0,1.0
104192,28.0,400.0,5.0,1.0
104417,10.0,117.0,92.0,30.0
104423,28.0,1242.89,158.0,50.0
104647,25.0,5390.11,38.0,24.0
105773,33.0,30.0,151.0,200.0
105795,50.0,9104.07,11.0,6.0
106195,43.0,710.67,9.0,400.0
106322,18.0,312.52,10.0,2.0
106348,10.0,8.2,6938.0,200.0
106903,31.0,699.0,2.0,3.0
106952,33.0,1545.45,2.0,2.0
107039,10.0,0.23,3660.0,2000.0
107166,13.0,123.46,12.0,2.0
107262,17.0,3484.02,6.0,2.0
107757,18.0,150.0,19.0,30.0
108564,21.0,240.0,30.0,15.0
108621,31.0,8592.67,21.0,5.0
109080,10.0,3.8,1368.0,400.0
109088,28.0,887.2,3.0,2.0
109303,31.0,2043.44,61.0,5.0
110122,18.0,403.0,7.0,3.0
110412,10.0,4.11,1732.0,100.0
110427,22.0,866.34,3.0,20.0
110453,17.0,129.25,96.0,50.0
110526,50.0,4913.56,6.0,7.0
110662,10.0,152.68,97.0,10.0
110927,31.0,1109.84,4.0,1.0
111728,21.0,1350.0,10.0,4.0
112273,52.0,959.76,0.0,30.0
112434,33.0,12812.8,5.0,5.0
112955,33.0,202.33,32.0,10.0
113980,21.0,1703.88,4.0,1.0
114187,21.0,470.0,6.0,2.0
114306,10.0,45.25,197.0,45.0
114346,24.0,159928.86,7.0,3.0
115312,14.0,63.0,0.0,100.0
116035,31.0,21033.91,21.0,1.0
116283,63.0,2549.98,1.0,5.0
116327,1.0,6231.27,1.0,8.0
116776,10.0,1409.41,12.0,10.0
116841,13.0,58.3,513.0,50.0
116892,18.0,170.77,222.0,50.0
117164,10.0,192.23,218.0,24.0
117510,18.0,416.11,7.0,5.0
117563,80.0,107781.07,4.0,4.0
118054,33.0,657.77,16.0,10.0
118176,67.0,118.15,190.0,50.0
118301,31.0,310.0,6.0,30.0
118546,31.0,334.97,200.0,100.0
118611,50.0,15671.3,9.0,5.0
118916,10.0,4.0,879.0,50.0
119792,28.0,5266.49,6.0,2.0
119848,77.0,2360.03,1.0,4.0
120117,55.0,319.28,25.0,100.0
120139,67.0,8.41,2288.0,20.0
120517,50.0,760.24,32.0,10.0
120737,13.0,509.93,58.0,30.0
120932,10.0,35.0,26.0,10.0
122327,33.0,195.0,0.0,2.0
122987,38.0,13667.12,5.0,3.0
123358,28.0,5268.8,6.0,2.0
123429,18.0,19.77,23.0,20.0
123619,17.0,594.0,0.0,10.0
124002,33.0,900.02,5.0,1.0
124679,17.0,300.03,127.0,10.0
125248,50.0,2815.41,0.0,3.0
125392,1.0,4562.32,13.0,2.0
125587,18.0,1458.75,8.0,10.0
125818,50.0,51831.6,5.0,10.0
126178,45.0,65631.41,1.0,1.0
126579,33.0,11.5,290.0,200.0
127604,28.0,657.22,27.0,10.0
128164,8.0,15677.89,0.0,15.0
128579,38.0,18282.0,0.0,5.0
128707,31.0,33300.0,1.0,1.0
128806,48.0,3719.21,1.0,6.0
129039,63.0,2340.56,3.0,2.0
129210,31.0,17404.55,4.0,1.0
129358,50.0,4691.4,3.0,2.0
129918,13.0,175.08,12.0,2.0
129969,59.0,68436.0,4.0,1.0
130176,10.0,500.0,5.0,2.0
131046,93.0,83.25,294.0,400.0
131063,17.0,210.0,6.0,1.0
131070,45.0,25282.56,15.0,15.0
131134,24.0,40.0,40.0,10.0
131345,18.0,790.87,21.0,10.0
131403,50.0,59.12,2.0,2.0
131712,90.0,788.85,8.0,4.0
132618,10.0,38.53,401.0,45.0
132630,30.0,22583.5,5.0,2.0
132872,38.0,2822.58,12.0,20.0
132894,21.0,33.61,580.0,150.0
134066,33.0,823.95,11.0,60.0
134516,10.0,273.5,15.0,3.0
134563,26.0,27480.06,1.0,4.0
134719,38.0,10.1,78.0,12.0
134977,33.0,1737.54,70.0,2.0
135690,24.0,4628.97,2.0,3.0
135988,24.0,3116.0,8.0,5.0
136872,45.0,25642.98,1.0,1.0
137547,10.0,346.04,44.0,10.0
138718,31.0,280.0,620.0,250.0
139437,24.0,120.0,48.5,100.0
140198,10.0,7.66,45.0,10.0
141626,22.0,553.94,56.0,10.0
142067,24.0,2392.44,6.0,4.0
142235,17.0,846.82,7.0,2.0
142425,31.0,4326.0,4.0,3.0
143175,38.0,27312.0,5.0,3.0
143866,10.0,40.0,23.0,5.0
145215,28.0,62499.61,3.0,4.0
145520,70.0,9561.07,12.0,5.0
145600,31.0,1489.66,137.0,300.0
146043,23.0,7.49,301.0,200.0
146829,67.0,120.01,48.0,60.0
147370,38.0,781.0,32.0,5.0
148347,24.0,9461.75,44.85,15.0
148407,70.0,738.74,125.0,100.0
148743,43.0,605.0,56.0,40.0
148819,33.0,111.79,149.0,10.0
148867,67.0,10505.23,3.0,2.0
149147,10.0,33.37,54.0,10.0
150083,33.0,450.95,0.0,2.0
150658,24.0,1287.5,3.0,2.0
151427,10.0,738.23,3.0,50.0
151824,33.0,282.04,6.0,2.0
152656,50.0,1905.24,12.0,2.0
153061,17.0,750.0,14.0,40.0
153592,48.0,3082.0,17.23,5.0
153846,21.0,2577.04,2.0,1.0
154111,87.0,145.66,47.0,50.0
154262,28.0,2839.8,2.0,1.0
154283,24.0,10407.79,6.0,2.0
154356,28.0,11541.38,6.0,4.0
